tester,image_size,compiler,transformation_id,trial1,trial2,trial3,avg
justin,512,gcc,1,232.39,225.513,231.642,229.8483333
justin,512,gcc,2,241.079,237.889,244.805,241.2576667
justin,512,gcc,3,259.348,260.252,269.464,263.0213333
justin,512,gcc,4,253.078,253.384,262.906,256.456
justin,512,gcc,5,358.424,359.352,372.96,363.5786667
justin,512,nvc,1,66.347,66.278,67.171,66.59866667
justin,512,nvc,2,68.978,68.943,71.896,69.939
justin,512,nvc,3,73.787,73.908,76.451,74.71533333
justin,512,nvc,4,71.694,71.571,74.289,72.518
justin,512,nvc,5,133.732,134.182,139.072,135.662
justin,1024,gcc,1,913.771,908.382,923.967,915.3733333
justin,1024,gcc,2,964.705,957.763,971.988,964.8186667
justin,1024,gcc,3,1052.914,1044.25,1059.716,1052.293333
justin,1024,gcc,4,1036.046,1022.857,1034.744,1031.215667
justin,1024,gcc,5,1471.961,1462.23,1479.069,1471.086667
justin,1024,nvc,1,278.891,287.09,279.5,281.827
justin,1024,nvc,2,293.205,302.751,292.587,296.181
justin,1024,nvc,3,311.965,313.195,312.182,312.4473333
justin,1024,nvc,4,303.39,304.52,305.695,304.535
justin,1024,nvc,5,561.882,568,559.921,563.2676667
justin,2048,gcc,1,3841.389,3933.851,3816.572,3863.937333
justin,2048,gcc,2,4055.743,4121.76,3940.063,4039.188667
justin,2048,gcc,3,4466.772,4464.668,4326.01,4419.15
justin,2048,gcc,4,4346.47,4428.293,4220.813,4331.858667
justin,2048,gcc,5,6430.416,6542.505,6270.988,6414.636333
justin,2048,nvc,1,1185.364,1177.039,1260.271,1207.558
justin,2048,nvc,2,1249.485,1236.379,1297.633,1261.165667
justin,2048,nvc,3,1365.937,1349.227,1361.985,1359.049667
justin,2048,nvc,4,1311.824,1302.121,1307.218,1307.054333
justin,2048,nvc,5,2600.741,2550.336,2597.484,2582.853667
jakob,512,gcc,1,432.376,432.119,432.382,432.2923333
jakob,512,gcc,2,455.071,455.595,451.535,454.067
jakob,512,gcc,3,492.67,488.851,486.7,489.407
jakob,512,gcc,4,488.671,485.929,477.39,483.9966667
jakob,512,gcc,5,801.065,788.616,777.685,789.122
jakob,512,nvc,1,161.895,167.327,164.67,164.6306667
jakob,512,nvc,2,168.762,168.902,172.979,170.2143333
jakob,512,nvc,3,179.931,178.947,180.801,179.893
jakob,512,nvc,4,174.232,175.928,178.421,176.1936667
jakob,512,nvc,5,394.492,396.537,406.478,399.169
jakob,1024,gcc,1,1836.24,1833.005,1821.369,1830.204667
jakob,1024,gcc,2,1907.361,1904.078,1896.259,1902.566
jakob,1024,gcc,3,2051.854,2046.108,2059.037,2052.333
jakob,1024,gcc,4,2011.536,2009.325,2010.051,2010.304
jakob,1024,gcc,5,3239.716,3228.007,3237.893,3235.205333
jakob,1024,nvc,1,676.441,676.591,676.103,676.3783333
jakob,1024,nvc,2,705.703,706.663,709.84,707.402
jakob,1024,nvc,3,751.972,751.264,749.509,750.915
jakob,1024,nvc,4,728.654,729.134,728.043,728.6103333
jakob,1024,nvc,5,1807.338,1627.115,1638.029,1690.827333
jakob,2048,gcc,1,7544.817,7439.948,7432.497,7472.420667
jakob,2048,gcc,2,7702.384,7673.741,7739.29,7705.138333
jakob,2048,gcc,3,8345.197,8338.891,8325.615,8336.567667
jakob,2048,gcc,4,8156.218,8137.57,8202.352,8165.38
jakob,2048,gcc,5,13782.182,13746.881,13832.98,13787.34767
jakob,2048,nvc,1,2827.754,2818.593,2829.646,2825.331
jakob,2048,nvc,2,2943.352,2944.146,2941.34,2942.946
jakob,2048,nvc,3,3202.174,3182.738,3187.481,3190.797667
jakob,2048,nvc,4,3112.177,3087.82,3081.25,3093.749
jakob,2048,nvc,5,7232.955,7245.5,7249.299,7242.584667
